period,total_return,annual_return,sharp_ratio,max_drawdown,daily_turnover
2012-03-31,0.01729229791666667,0.07513205301724142,1.342806480876436,0.02296191408333332,0.8271604938271605
2012-06-30,-0.010838344666666663,-0.046292590779661004,-0.5964779146121524,0.036123227333333334,0.8192090395480224
2012-09-30,0.06791180066666667,0.2632888272,2.6405565636736044,0.041239612999999994,0.676923076923077
2012-12-31,0.08382810216666667,0.3463062581311475,4.983445882270154,0.014720703499999994,0.6775956284153007
2013-03-31,-0.009417279999999997,-0.042377759999999966,-0.5821081526291649,0.0329166655,0.8095238095238094
2013-06-30,0.05621480816666668,0.2485286255789474,2.379567695830236,0.03008259616666666,0.7485380116959065
2013-09-30,0.014718635833333327,0.05795462859374999,0.5834283329078154,0.03600955866666666,0.786458333333333
2013-12-31,0.005162145124999994,0.02132558313934423,0.35836138142974644,0.026263153458333334,0.6939890710382514
2014-03-31,0.011295460500000007,0.04907682837931037,0.5965177493729272,0.029456035875,0.6637931034482759
2014-06-30,0.015355724875000004,0.06343676505737704,0.8727786439746712,0.027211012750000003,0.7172131147540983
2014-09-30,0.005723789549999993,0.02219069179384614,0.4362765880160223,0.019833470475000003,0.7415384615384616
2014-12-31,0.010114178775000001,0.04178316477540982,0.5017450782495937,0.021273270100000005,0.6836065573770495
2015-03-31,0.052015896875,0.22996501776315786,2.8982115212281836,0.0409606815,0.7105263157894737
2015-06-30,0.003013488199999999,0.012248371393548382,0.14124059345094864,0.037520606624999994,0.7749999999999999
2015-09-30,0.005720903249999992,0.02252605654687497,0.24164704232026743,0.049820536375,0.73828125
2015-12-31,0.0030023565250000108,0.012403177775409866,0.1798795186369732,0.022858945399999994,0.7581967213114755
2016-03-31,-0.024137006333333343,-0.10309365416949154,-1.3647594523767763,0.04306471753333333,0.7971751412429379
2016-06-30,0.01717709566666666,0.0709611165245902,0.628046994093307,0.04737818416666666,0.6721311475409836
2016-09-30,-0.0020790006666666708,-0.008186065124999989,-0.0936372604733399,0.04509149324999999,0.7661458333333335
2016-12-31,-0.00493872166666668,-0.02074263100000018,-0.1516092384888526,0.08112840600000003,0.713888888888889
2017-03-31,-0.07193993200000001,-0.3072688621016949,-2.3330511703821113,0.10785413708333333,0.7937853107344635
2017-06-30,0.024445128749999996,0.10266954075000001,1.1792152907464688,0.05074835308333333,0.7166666666666668
2017-09-30,0.06129086441666667,0.23761996666153842,2.6442454235608785,0.02264749308333333,0.7025641025641025
2017-12-31,-0.00043244233333332893,-0.001816257799999967,-0.020606518077265303,0.033405949666666664,0.7111111111111111
2018-03-31,-0.0025880421071428515,-0.011054010355932179,-0.18279265388528593,0.020988585833333327,0.7562550443906374
2018-06-30,0.010809284999999988,0.045398996999999996,0.6459313168952147,0.024283609071428566,0.6952380952380953
2018-09-30,-0.01302565871428572,-0.05128853118750002,-0.6739173641514324,0.04696831985714286,0.7566964285714286
2018-12-31,-0.0015038088660714287,-0.006315997237499986,-0.08075329413826007,0.03397449485714285,0.6976190476190478
2019-03-31,-0.022752857892857137,-0.09885724463793102,-1.6188048513241944,0.04517280775,0.7840722495894912
2019-06-30,0.050436668785714275,0.21183400889999995,2.7794109687435475,0.02206915985714286,0.6714285714285715
2019-09-30,0.018069001053571433,0.07005212716153847,0.7031268677913894,0.027075723571428567,0.7118131868131866
2019-12-31,-0.005562026473214281,-0.0229775519877049,-0.35136260901617516,0.04256081568749999,0.7096018735362996
2020-03-31,0.12165160534821429,0.5285552508232757,3.474043186665835,0.03435137458035714,0.6899630541871925
2020-06-30,-0.0334665688125,-0.14294195492796613,-1.0389661159897852,0.054872889625000004,0.7860169491525424
2020-09-30,0.011042281590277769,0.04216143879924239,0.6410890834068248,0.036906695777777776,0.7119107744107743
2020-12-31,0.0169807735,0.07131924870000003,0.8687970172261235,0.025981107111111103,0.6907407407407408
2021-03-31,-0.028737194494444444,-0.12485815538965518,-1.212460069882873,0.04108270406666667,0.7394636015325671
2021-06-30,-0.05286639291666667,-0.22203885024999997,-2.4182304991766683,0.042062622938888884,0.7324074074074076
2021-09-30,0.040982384488888884,0.16136813892500004,1.252143923116937,0.05765077612222222,0.7300347222222223
2021-12-31,0.02104467545,0.08693865923606563,0.5151979524469622,0.0907549807,0.7245901639344262
total,0.4610140745311508,0.047789200650699394,0.513232427908865,0.1751816571666667,0.7316770328513286
